MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;444.3828125;936.2310791015625;0.1538461595773697;372075035;DU
0;0;444.3828125;936.2310791015625;0.13461539149284363;372075066;DU
0;0;444.3828125;936.2310791015625;0.17307692766189575;372075088;DU
0;0;433.1778869628906;885.1553344726563;0.11538462340831757;372075121;DU
0;0;432.5616455078125;829.6488037109375;0.09615384787321091;372075138;DU
0;0;433.8355407714844;755.7830200195313;0.17307692766189575;372075154;DU
0;0;443.5305480957031;668.2259521484375;0.19230769574642181;372075171;DU
0;0;466.9193115234375;587.3522338867188;0.19230769574642181;372075188;DU
0;0;487.8968505859375;519.2393798828125;0.17307692766189575;372075204;DU
0;0;507.98284912109375;462.7460021972656;0.13461539149284363;372075221;DU
0;0;510.291259765625;455.6065673828125;0.17307692766189575;372075223;DU
1;0;454.3689270019531;947.2224731445313;0.17307692766189575;372075654;DU
1;0;447.3736877441406;919.2245483398438;0.11538462340831757;372075671;DU
1;0;437.34088134765625;868.1842041015625;0.1538461595773697;372075688;DU
1;0;431.1621398925781;814.984375;0.13461539149284363;372075704;DU
1;0;429.00244140625;757.907958984375;0.17307692766189575;372075721;DU
1;0;433.3688659667969;695.7334594726563;0.13461539149284363;372075738;DU
1;0;451.67913818359375;605.9837036132813;0.13461539149284363;372075754;DU
1;0;492.1755065917969;507.5880126953125;0.19230769574642181;372075771;DU
1;0;529.563720703125;441.12408447265625;0.19230769574642181;372075788;DU
1;0;534.2579956054688;432.62451171875;0.11538462340831757;372075790;DU
2;0;451.37310791015625;958.2138671875;0.13461539149284363;372076252;DU
2;0;445.01690673828125;917.6685791015625;0.1538461595773697;372076271;DU
2;0;439.23077392578125;854.6116333007813;0.11538462340831757;372076288;DU
2;0;436.4209899902344;783.5966796875;0.1538461595773697;372076304;DU
2;0;440.1037902832031;713.5361328125;0.13461539149284363;372076321;DU
2;0;448.228515625;639.7962646484375;0.1538461595773697;372076338;DU
2;0;474.3622741699219;558.4629516601563;0.1538461595773697;372076354;DU
2;0;513.0873413085938;483.677001953125;0.19230769574642181;372076371;DU
2;0;546.9447021484375;431.5380554199219;0.17307692766189575;372076388;DU
2;0;548.2385864257813;429.6268615722656;0.1538461595773697;372076388;DU
3;0;451.07232666015625;948.16748046875;0.11538462340831757;372076838;DU
3;0;441.14447021484375;905.16259765625;0.07692307978868484;372076854;DU
3;0;432.5693359375;847.4912109375;0.1538461595773697;372076871;DU
3;0;427.84912109375;789.3056640625;0.11538462340831757;372076888;DU
3;0;427.7022399902344;738.0531616210938;0.11538462340831757;372076904;DU
3;0;432.3655700683594;679.254150390625;0.1538461595773697;372076921;DU
3;0;439.96697998046875;619.4855346679688;0.17307692766189575;372076938;DU
3;0;469.8122863769531;541.4987182617188;0.19230769574642181;372076954;DU
3;0;513.1461791992188;469.05059814453125;0.17307692766189575;372076971;DU
3;0;548.231201171875;419.9775695800781;0.1538461595773697;372076988;DU
3;0;562.2191772460938;401.6487121582031;0.17307692766189575;372076997;DU
